name,default,schema,requiredness,line
WHATSAPP_ENABLED,true,"booleanFromEnv.default(true),",required-or-defaulted,32
QR_ENABLED,,"booleanFromEnv,",required-or-defaulted,33
PAIRING_ENABLED,,"booleanFromEnv,",required-or-defaulted,34
DIAGNOSTICS_ENABLED,false,"booleanFromEnv.default(false),",required-or-defaulted,41
XKIRO_AI_ENABLED,false,"booleanFromEnv.default(false),",required-or-defaulted,42
XKIRO_AI_FALLBACK_ENABLED,false,"booleanFromEnv.default(false),",required-or-defaulted,43
NEON_ENABLED,false,"booleanFromEnv.default(false),",required-or-defaulted,44
NEON_CHAT_LOG_ENABLED,false,"booleanFromEnv.default(false),",required-or-defaulted,47
UPSTASH_REDIS_ENABLED,false,"booleanFromEnv.default(false),",required-or-defaulted,55
CODEBASE_EXPORT_ENABLED,false,"booleanFromEnv.default(false),",required-or-defaulted,63
